tenure,signup_date,last_active_days,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,avg_monthly_usage,number_of_logins,complaints_count,customer_support_calls,late_payments,charges_per_month,tenure_group,engagement_score,Churn,cluster,customer_segment,churn_prob,expected_remaining,CLV
34,2021-02-10,101,Male,0,No,No,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,92.37,3142.39,57.7,17,8,8,1,92.42,Loyal,25.3,Yes,3,Loyal Mid-tier,0.9652416,38,122.00403087973596
69,2018-03-24,28,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,103.91,7169.31,100.8,23,4,4,0,103.9,Veteran,76.2,No,1,Veteran Champion,0.024073148,3,304.2256850767136
28,2021-08-22,62,Female,0,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.95,1400.47,85.0,25,2,3,3,50.02,Loyal,54.2,Yes,0,Loyal Mid-tier,0.24918768,44,1650.1352555751803
5,2023-07-12,20,Male,0,Yes,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,78.53,389.15,48.9,18,2,2,1,77.83,New,46.7,No,0,Loyal Mid-tier,0.41874993,67,3058.2530638325215
12,2022-12-07,157,Male,0,Yes,No,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,52.04,618.13,55.4,16,1,1,0,51.51,New,44.1,No,0,Loyal Mid-tier,0.03384664,60,3016.717323875427
51,2019-09-13,26,Male,0,No,No,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),70.95,3616.74,82.0,21,0,0,1,70.92,Veteran,72.7,No,2,Veteran Champion,0.0060830754,21,1480.886528018117
29,2021-07-13,114,Male,0,Yes,No,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),49.11,1420.0,59.0,16,1,3,0,48.97,Loyal,60.5,No,0,Loyal Mid-tier,0.01399132,43,2082.1841598826645
9,2023-03-26,284,Female,0,No,No,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),63.4,571.69,46.9,13,1,3,1,63.52,New,44.3,Yes,0,Loyal Mid-tier,0.3068355,63,2768.6375173330307
5,2023-07-13,4,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.43,121.7,39.5,15,2,2,0,24.34,New,42.9,No,0,Loyal Mid-tier,0.36928764,67,1032.356346987486
6,2023-06-30,251,Female,0,No,Yes,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,63.11,377.04,72.5,18,4,3,0,62.84,New,50.2,No,3,Loyal Mid-tier,0.10042819,66,3746.9505855953694
37,2020-11-09,8,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.03,2931.29,84.9,20,1,0,2,79.22,Loyal,69.1,No,2,Veteran Champion,0.03633002,35,2665.559281048179
5,2023-07-22,23,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),93.61,463.14,57.7,16,4,6,0,92.63,New,40.6,Yes,3,Loyal Mid-tier,0.8847826,67,722.6284772449732
1,2023-12-01,21,Female,0,No,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,74.02,70.56,62.3,18,2,3,1,70.56,New,47.2,Yes,0,Loyal Mid-tier,0.6105195,71,2046.8834601140022
8,2023-04-23,322,Male,0,Yes,Yes,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,65.42,519.16,79.7,23,3,3,0,64.9,New,57.0,No,0,Loyal Mid-tier,0.13460594,64,3623.301064529419
58,2019-03-02,333,Female,0,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),84.48,4898.12,94.0,16,4,6,0,84.45,Veteran,64.8,No,1,Veteran Champion,0.027435172,14,1150.271859741211
31,2021-05-03,195,Female,1,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),92.75,2876.25,51.9,17,3,2,0,92.78,Loyal,52.1,Yes,0,Loyal Mid-tier,0.2149821,41,2985.2268481999636
7,2023-05-05,296,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,107.75,758.55,87.4,19,2,3,0,108.36,New,53.1,Yes,3,Loyal Mid-tier,0.56000227,65,3081.6341199725866
21,2022-03-07,225,Male,0,Yes,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,58.9,1232.97,34.5,16,1,1,1,58.71,Regular,46.3,No,0,Loyal Mid-tier,0.028009363,51,2919.762698310614
16,2022-08-16,299,Male,0,No,No,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),67.12,1071.58,46.9,17,0,1,0,66.97,Regular,53.1,No,0,Loyal Mid-tier,0.025940062,56,3661.2185753631593
50,2019-10-27,273,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.0,999.49,42.6,27,1,1,0,19.99,Veteran,64.1,No,0,Loyal Mid-tier,0.001112778,22,439.5103859901428
9,2023-03-12,108,Female,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),47.68,427.85,71.1,23,1,1,2,47.54,New,56.0,No,0,Loyal Mid-tier,0.099993795,63,2703.4745488357544
58,2019-02-05,271,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,1161.15,54.8,13,3,3,1,20.02,Veteran,54.4,No,0,Loyal Mid-tier,0.014347377,14,275.98273515701294
41,2020-07-14,251,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,87.0,3568.75,98.7,24,2,5,0,87.04,Loyal,66.9,No,1,Veteran Champion,0.13471834,31,2333.6645870804787
17,2022-07-09,289,Female,0,Yes,No,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,60.36,1027.8,62.8,12,3,2,2,60.46,Regular,50.0,No,0,Loyal Mid-tier,0.33975422,55,2191.8839277505876
6,2023-06-22,342,Female,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.21,185.96,76.3,24,1,3,0,30.99,New,57.0,No,0,Loyal Mid-tier,0.075324446,66,1904.7022481274605
21,2022-03-21,172,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),119.49,2508.18,79.0,25,4,3,0,119.44,Regular,57.3,No,1,Veteran Champion,0.07467009,51,5638.951301300525
47,2020-01-08,345,Male,0,Yes,Yes,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,62.37,2928.2,96.0,21,2,2,0,62.3,Loyal,75.2,No,2,Veteran Champion,0.005013159,25,1551.4332180172205
23,2022-01-09,238,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,459.0,39.0,20,0,1,0,19.96,Regular,64.5,No,0,Loyal Mid-tier,0.025481258,49,955.0283420085907
2,2023-10-26,13,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,32.12,61.87,38.6,9,3,3,1,30.94,New,38.9,No,0,Loyal Mid-tier,0.2979344,70,1578.5242659091946
50,2019-10-27,124,Male,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,100.65,5034.02,94.4,18,2,2,0,100.68,Veteran,76.9,No,1,Veteran Champion,0.046312336,22,2111.750602912903
31,2021-06-01,101,Male,0,No,No,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),66.02,2044.18,61.4,13,0,0,0,65.94,Loyal,61.9,No,0,Loyal Mid-tier,0.0060257837,41,2690.5092679500576
2,2023-10-22,24,Male,0,Yes,No,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.81,123.17,69.6,17,4,6,0,61.58,New,35.5,No,3,Loyal Mid-tier,0.7744191,70,960.2300940334796
48,2019-12-21,284,Female,0,Yes,No,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,53.03,2546.42,84.0,22,1,2,0,53.05,Loyal,77.7,No,2,Veteran Champion,0.0017872533,24,1270.4453371953964
31,2021-05-15,219,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,100.49,3119.51,53.9,12,3,5,0,100.63,Loyal,55.9,No,1,Veteran Champion,0.34688267,41,2690.9020527660846
25,2021-11-22,191,Male,0,No,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,99.69,2491.52,69.5,14,2,2,2,99.66,Loyal,50.0,No,0,Loyal Mid-tier,0.25751144,47,3478.8781880217794
10,2023-02-25,117,Female,0,No,No,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),56.91,570.13,76.0,17,2,2,0,57.01,New,57.1,No,0,Loyal Mid-tier,0.08379045,62,3232.772201020717
53,2019-07-13,34,Male,0,Yes,No,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),61.33,3250.51,96.2,23,2,1,0,61.33,Veteran,77.8,No,2,Veteran Champion,0.003646188,19,1161.0211984282732
19,2022-05-25,139,Male,0,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),44.02,836.76,97.4,21,1,4,1,44.04,Regular,61.8,No,0,Loyal Mid-tier,0.018524146,53,2289.84200012207
62,2018-10-07,338,Male,1,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.0,1239.77,48.8,11,3,4,1,20.0,Veteran,51.7,No,0,Loyal Mid-tier,0.013528571,10,197.294282913208
5,2023-07-31,27,Male,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.9,469.03,87.0,25,5,5,0,93.81,New,45.6,Yes,3,Loyal Mid-tier,0.85231286,67,939.0391239941121
61,2018-11-04,159,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.0,1220.02,81.1,20,2,3,0,20.0,Veteran,73.8,No,2,Veteran Champion,0.0048234006,11,218.93885493278503
68,2018-04-29,27,Male,1,Yes,No,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),73.92,5025.11,88.4,16,1,2,0,73.9,Veteran,79.3,No,2,Veteran Champion,0.010254974,4,292.6478077697754
34,2021-02-25,177,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),93.31,3169.81,52.6,15,2,1,0,93.23,Loyal,56.5,No,0,Loyal Mid-tier,0.040535286,38,3402.0508461987974
5,2023-07-16,6,Female,0,No,No,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.38,567.35,50.7,11,3,2,2,113.47,New,36.4,Yes,3,Loyal Mid-tier,0.81790185,67,1383.3013144731522
2,2023-10-09,2,Male,0,Yes,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,37.58,78.09,69.3,10,4,7,0,39.04,New,30.3,Yes,3,Loyal Mid-tier,0.8386278,70,424.5056692123413
14,2022-10-24,250,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.31,284.79,56.4,20,1,2,0,20.34,Regular,59.6,No,0,Loyal Mid-tier,0.042674065,58,1127.7108053398133
13,2022-11-14,14,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),107.1,1397.23,71.9,24,3,5,0,107.48,Regular,56.6,Yes,3,Loyal Mid-tier,0.55848336,59,2789.8994826078415
52,2019-08-26,200,Female,1,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.0,1041.73,80.3,19,1,2,1,20.03,Veteran,69.0,No,2,Veteran Champion,0.003882359,20,398.447060585022
9,2023-03-09,14,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),97.11,879.42,45.0,18,4,7,1,97.71,New,35.3,Yes,3,Loyal Mid-tier,0.7528525,63,1512.031107825637
68,2018-04-05,38,Male,0,No,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,97.18,6607.96,40.9,16,3,4,1,97.18,Veteran,56.6,No,1,Veteran Champion,0.057375517,4,366.4169992685318
63,2018-09-19,300,Female,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.33,1280.52,72.6,23,1,0,0,20.33,Veteran,78.0,No,2,Veteran Champion,0.0014923682,9,182.69693903088566
72,2017-12-30,63,Male,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.0,6698.97,63.9,13,2,2,1,93.04,Veteran,57.1,No,1,Veteran Champion,0.13815184,0,0.0
64,2018-08-22,73,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.02,1473.02,71.0,17,0,2,0,23.02,Veteran,76.9,No,2,Veteran Champion,0.0011799886,8,183.9426924610138
64,2018-08-14,344,Male,0,No,No,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,83.37,5338.11,74.0,18,2,4,1,83.41,Veteran,63.5,No,1,Veteran Champion,0.01612896,8,656.2026306581497
22,2022-02-07,151,Female,0,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),70.84,1557.87,29.2,17,1,4,0,70.81,Regular,46.2,No,0,Loyal Mid-tier,0.28645992,50,2527.358953475952
8,2023-04-26,221,Female,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.73,479.48,58.3,20,2,6,1,59.94,New,45.8,Yes,3,Loyal Mid-tier,0.48155782,64,1981.859190673828
10,2023-02-21,155,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,95.87,964.08,69.7,15,3,8,0,96.41,New,43.9,No,3,Loyal Mid-tier,0.8328335,62,993.6274764966965
5,2023-07-07,13,Male,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.02,362.71,32.7,17,4,8,0,72.54,New,32.4,Yes,3,Loyal Mid-tier,0.94267476,67,280.4545839858055
56,2019-04-30,160,Male,0,Yes,No,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,58.82,3294.66,116.5,22,0,5,0,58.83,Veteran,87.5,No,2,Veteran Champion,0.006416817,16,935.0810234069825
67,2018-06-01,98,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.13,1348.44,79.8,26,0,3,0,20.13,Veteran,87.0,No,2,Veteran Champion,0.0024898495,5,100.39939510524272
50,2019-10-25,105,Female,1,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.06,1152.99,107.8,16,2,3,1,23.06,Veteran,75.7,No,2,Veteran Champion,0.00832897,22,503.0945447850227
20,2022-04-18,64,Female,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,104.99,2110.16,41.0,10,5,7,3,105.51,Regular,23.5,Yes,3,Loyal Mid-tier,0.83485144,52,901.6252397799491
7,2023-05-26,191,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.36,613.34,63.1,15,3,5,1,87.62,New,48.7,Yes,3,Loyal Mid-tier,0.811017,65,1085.4050952553748
11,2023-01-07,170,Male,0,Yes,Yes,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.34,483.85,54.2,23,2,3,0,43.99,New,51.7,No,0,Loyal Mid-tier,0.2231204,61,2101.2573526489737
11,2023-01-16,127,Female,1,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.8,584.79,67.6,10,1,4,0,53.16,New,56.3,No,0,Loyal Mid-tier,0.16215947,61,2698.51686630249
18,2022-06-19,195,Female,0,No,No,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,61.75,1111.59,66.4,13,1,2,1,61.76,Regular,60.9,No,0,Loyal Mid-tier,0.016430967,54,3279.710917174816
37,2020-11-05,214,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,92.34,3421.78,62.8,15,2,1,1,92.48,Loyal,56.0,No,1,Veteran Champion,0.12408932,35,2830.8557892858985
12,2022-12-27,245,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.88,249.94,80.0,20,1,2,1,20.83,New,50.7,No,0,Loyal Mid-tier,0.03851656,60,1204.5464272499084
59,2019-01-12,258,Male,0,No,No,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.42,4104.22,102.8,20,2,5,1,69.56,Veteran,80.1,No,2,Veteran Champion,0.038063534,13,868.1091901874543
40,2020-08-30,18,Female,0,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,90.55,3619.69,61.9,21,2,5,0,90.49,Loyal,63.5,No,1,Veteran Champion,0.031761408,32,2805.5681446075437
62,2018-10-30,37,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),109.07,6771.95,71.0,20,4,3,1,109.22,Veteran,59.2,Yes,1,Veteran Champion,0.16407202,10,911.7466295242308
1,2023-11-05,7,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,120.0,127.65,47.6,12,4,4,3,127.65,New,27.9,Yes,3,Loyal Mid-tier,0.7926023,71,1767.028398513794
4,2023-08-19,2,Female,1,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,86.44,345.42,49.9,12,4,3,0,86.36,New,37.6,Yes,3,Loyal Mid-tier,0.8738603,68,741.4390678501129
17,2022-07-23,307,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,89.1,1514.03,57.2,11,3,5,0,89.06,Regular,45.5,No,3,Loyal Mid-tier,0.56368214,55,2138.1756782233715
31,2021-05-30,187,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),43.66,1350.17,95.4,26,0,4,0,43.55,Loyal,75.4,No,2,Veteran Champion,0.028143033,41,1739.6822549843787
23,2022-01-24,262,Female,0,Yes,No,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),62.81,1446.2,118.3,17,0,0,0,62.88,Regular,76.4,No,2,Veteran Champion,0.010482036,49,3045.4296127158404
6,2023-06-24,328,Female,0,Yes,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.0,120.22,54.9,16,2,6,1,20.04,New,40.3,No,0,Loyal Mid-tier,0.55273414,66,590.3909397125244
11,2023-01-19,162,Female,0,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.35,800.87,92.4,19,2,3,0,72.81,New,57.8,No,0,Loyal Mid-tier,0.13289861,61,3826.8218369752162
15,2022-09-13,318,Male,1,Yes,No,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),62.33,933.83,49.2,12,0,0,0,62.26,Regular,62.2,No,0,Loyal Mid-tier,0.058575895,57,3344.701068255901
14,2022-10-27,127,Male,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,103.65,1456.75,48.6,13,2,2,0,104.05,Regular,44.4,Yes,0,Loyal Mid-tier,0.22212651,58,4676.342216634751
31,2021-05-11,163,Male,0,No,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,80.98,2516.28,79.2,23,5,6,0,81.17,Loyal,52.4,No,3,Loyal Mid-tier,0.4239048,41,1912.7398389172556
58,2019-02-26,113,Female,0,No,No,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,89.97,5218.09,67.8,16,3,3,1,89.97,Veteran,65.6,No,1,Veteran Champion,0.025880117,14,1226.9819457292556
65,2018-07-30,215,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),107.72,7004.91,100.3,17,4,5,0,107.77,Veteran,77.2,No,1,Veteran Champion,0.009086587,7,747.1883334350586
46,2020-02-03,275,Male,1,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.5,1129.02,60.3,15,0,0,1,24.54,Loyal,70.1,No,2,Veteran Champion,0.013147558,26,628.6250215172768
8,2023-04-23,314,Female,1,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),78.48,624.3,76.3,20,2,4,1,78.04,New,52.5,No,0,Loyal Mid-tier,0.6068591,64,1974.6367218017579
4,2023-08-07,11,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.17,430.63,80.1,24,3,4,0,107.66,New,50.3,Yes,3,Loyal Mid-tier,0.6646118,68,2444.161511230469
30,2021-06-20,289,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.27,608.44,76.7,15,3,9,1,20.28,Loyal,49.1,No,3,Loyal Mid-tier,0.11170765,42,756.2388281714916
35,2021-01-01,170,Female,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,77.28,2701.35,67.5,13,1,2,0,77.18,Loyal,63.7,No,2,Veteran Champion,0.0067381565,37,2840.0931008148195
51,2019-09-18,45,Male,0,Yes,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,66.52,3387.96,97.9,14,1,4,0,66.43,Veteran,73.4,No,2,Veteran Champion,0.0053104265,21,1389.5017733716963
56,2019-04-08,195,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,1119.29,93.8,14,1,3,1,19.99,Veteran,75.3,No,2,Veteran Champion,0.008280353,16,317.35029220581055
64,2018-08-14,288,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,89.86,5750.0,84.3,17,2,6,0,89.84,Veteran,67.4,No,1,Veteran Champion,0.009796533,8,711.8374490833282
72,2017-12-23,345,Female,0,No,No,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,86.41,6216.99,122.0,14,5,4,0,86.35,Veteran,76.9,No,1,Veteran Champion,0.073899925,0,0.0
7,2023-05-20,158,Female,1,Yes,Yes,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,83.47,580.56,54.1,20,5,4,0,82.94,New,38.5,Yes,3,Loyal Mid-tier,0.8315111,65,914.1450584679842
10,2023-02-15,296,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),91.31,910.81,98.3,27,3,3,1,91.08,New,61.6,No,0,Loyal Mid-tier,0.065576375,62,5289.9777169787885
13,2022-11-13,88,Male,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),57.74,751.66,43.1,12,0,2,0,57.82,Regular,56.9,No,0,Loyal Mid-tier,0.011087175,59,3368.8897501611714
47,2020-01-11,351,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.0,940.03,69.8,16,1,1,0,20.0,Loyal,67.5,No,2,Veteran Champion,0.0025337213,25,498.73313307762146
10,2023-02-07,48,Male,0,Yes,Yes,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Mailed check,62.64,629.22,57.6,14,1,0,0,62.92,New,54.0,No,0,Loyal Mid-tier,0.047921922,62,3697.566691017151
44,2020-04-08,361,Female,0,No,No,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),62.31,2745.56,87.3,22,1,2,0,62.4,Loyal,72.0,No,2,Veteran Champion,0.0026454472,28,1740.0645660424234
18,2022-07-02,12,Male,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),32.87,590.11,64.4,18,0,1,0,32.78,Regular,62.3,No,0,Loyal Mid-tier,0.02700667,54,1727.043672956228
42,2020-06-22,362,Female,1,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.0,841.42,64.7,8,2,3,0,20.03,Loyal,57.0,No,0,Loyal Mid-tier,0.009463218,30,594.3220853805542
71,2018-01-17,135,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),93.98,6673.33,108.5,17,3,3,1,93.99,Veteran,79.7,No,1,Veteran Champion,0.01739475,1,92.34524407267571
6,2023-07-01,217,Male,0,No,No,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,81.3,482.98,73.7,22,5,6,0,80.5,New,43.6,No,3,Loyal Mid-tier,0.47321987,66,2826.5968133926394
5,2023-07-04,27,Male,1,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,46.15,232.01,56.0,21,2,5,1,46.4,New,46.7,Yes,0,Loyal Mid-tier,0.7209369,67,862.8770756185054
46,2020-02-20,249,Female,0,Yes,No,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,98.06,4520.71,93.5,14,2,4,2,98.28,Loyal,65.8,No,1,Veteran Champion,0.09006973,26,2319.9218670916557
39,2020-09-30,330,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.93,1125.99,83.2,20,1,2,0,28.87,Loyal,65.3,No,2,Veteran Champion,0.005846343,33,949.1085752481222
